room_type,price
Private room,339.0
Entire home/apt,438.0
Entire home/apt,480.0
Entire home/apt,436.0
Private room,158.0
Private room,165.0
Entire home/apt,500.0
Entire home/apt,478.0
Entire home/apt,431.0
Entire home/apt,476.0
Entire home/apt,449.0
Private room,157.0
Entire home/apt,450.0
Entire home/apt,469.0
Entire home/apt,443.0
Entire home/apt,443.0
Entire home/apt,426.0
Entire home/apt,487.0
Private room,197.0
Private room,208.0
Private room,183.0
Entire home/apt,442.0
Private room,197.0
Entire home/apt,463.0
Entire home/apt,445.0
Entire home/apt,451.0
Entire home/apt,453.0
Entire home/apt,461.0
Entire home/apt,450.0
Entire home/apt,442.0
Entire home/apt,437.0
Entire home/apt,449.0
Private room,189.0
Entire home/apt,495.0
Entire home/apt,460.0
Private room,236.0
Entire home/apt,437.0
Entire home/apt,450.0
Entire home/apt,436.0
Entire home/apt,485.0
Private room,175.0
Entire home/apt,429.0
Private room,475.0
Private room,277.0
Private room,188.0
Entire home/apt,473.0
Entire home/apt,461.0
Private room,238.0
Private room,238.0
Entire home/apt,485.0
Entire home/apt,483.0
Entire home/apt,450.0
Entire home/apt,474.0
Private room,255.0
Shared room,99.0
Shared room,216.0
Private room,435.0
Entire home/apt,444.0
Entire home/apt,451.0
Private room,157.0
Entire home/apt,444.0
Entire home/apt,454.0
Entire home/apt,447.0
Entire home/apt,428.0
Entire home/apt,424.0
Entire home/apt,435.0
Entire home/apt,469.0
Private room,169.0
Private room,186.0
Private room,382.0
Private room,382.0
Private room,255.0
Entire home/apt,440.0
Private room,250.0
Entire home/apt,450.0
Entire home/apt,438.0
Entire home/apt,461.0
Entire home/apt,422.0
Private room,232.0
Entire home/apt,437.0
Entire home/apt,500.0
Private room,180.0
Private room,172.0
Private room,177.0
Entire home/apt,479.0
Entire home/apt,469.0
Entire home/apt,495.0
Entire home/apt,463.0
Entire home/apt,425.0
Private room,192.0
Entire home/apt,486.0
Entire home/apt,425.0
Entire home/apt,489.0
Entire home/apt,437.0
Entire home/apt,426.0
Entire home/apt,430.0
Entire home/apt,454.0
Entire home/apt,449.0
Entire home/apt,456.0
Entire home/apt,432.0
Entire home/apt,429.0
Entire home/apt,488.0
Entire home/apt,425.0
Entire home/apt,498.0
Entire home/apt,423.0
Entire home/apt,435.0
Private room,156.0
Entire home/apt,466.0
Entire home/apt,420.0
Private room,232.0
Private room,232.0
Private room,232.0
Private room,232.0
Private room,232.0
Entire home/apt,463.0
Entire home/apt,433.0
Private room,155.0
Private room,232.0
Private room,232.0
Entire home/apt,497.0
Entire home/apt,427.0
Entire home/apt,449.0
Entire home/apt,484.0
Entire home/apt,481.0
Private room,158.0
Entire home/apt,423.0
Entire home/apt,474.0
Private room,220.0
Entire home/apt,500.0
Private room,232.0
Private room,232.0
Private room,232.0
Private room,232.0
Private room,232.0
Private room,232.0
Entire home/apt,479.0
Entire home/apt,488.0
Entire home/apt,497.0
Entire home/apt,493.0
Entire home/apt,437.0
Private room,305.0
Entire home/apt,490.0
Entire home/apt,423.0
Entire home/apt,487.0
Entire home/apt,447.0
Entire home/apt,444.0
Private room,244.0
Entire home/apt,445.0
Entire home/apt,423.0
Private room,336.0
Entire home/apt,429.0
Entire home/apt,484.0
Entire home/apt,475.0
Private room,212.0
Entire home/apt,442.0
Entire home/apt,451.0
Entire home/apt,450.0
Entire home/apt,453.0
Entire home/apt,500.0
Entire home/apt,459.0
Entire home/apt,454.0
Private room,218.0
Entire home/apt,499.0
Private room,242.0
Private room,224.0
Private room,271.0
Private room,220.0
Private room,276.0
Entire home/apt,450.0
Private room,200.0
Private room,191.0
Entire home/apt,480.0
Private room,196.0
Entire home/apt,450.0
Private room,322.0
Private room,180.0
Private room,175.0
Entire home/apt,465.0
Entire home/apt,473.0
Entire home/apt,476.0
Private room,161.0
Entire home/apt,444.0
Private room,156.0
Private room,210.0
Private room,281.0
Private room,274.0
Entire home/apt,473.0
Private room,424.0
Private room,275.0
Private room,332.0
Private room,366.0
Private room,351.0
Private room,281.0
Private room,403.0
Private room,167.0
Entire home/apt,496.0
Entire home/apt,448.0
Private room,251.0
Private room,213.0
Private room,259.0
Entire home/apt,493.0
Private room,241.0
Private room,295.0
Private room,295.0
Entire home/apt,468.0
Entire home/apt,422.0
Entire home/apt,461.0
Private room,230.0
Entire home/apt,439.0
Entire home/apt,472.0
Entire home/apt,446.0
Entire home/apt,472.0
Entire home/apt,426.0
Entire home/apt,452.0
Entire home/apt,487.0
Entire home/apt,500.0
Entire home/apt,451.0
Entire home/apt,469.0
Entire home/apt,447.0
Entire home/apt,499.0
Entire home/apt,493.0
Entire home/apt,472.0
Entire home/apt,424.0
Entire home/apt,480.0
Entire home/apt,480.0
Entire home/apt,488.0
Entire home/apt,496.0
Private room,172.0
Entire home/apt,426.0
Entire home/apt,456.0
Entire home/apt,446.0
Entire home/apt,423.0
Entire home/apt,484.0
Entire home/apt,491.0
Entire home/apt,467.0
Entire home/apt,498.0
Private room,201.0
Private room,188.0
Private room,188.0
Private room,188.0
Private room,188.0
Private room,188.0
Private room,188.0
Private room,169.0
Private room,376.0
Entire home/apt,431.0
Entire home/apt,435.0
Entire home/apt,428.0
Entire home/apt,436.0
Entire home/apt,424.0
Entire home/apt,496.0
Entire home/apt,475.0
Entire home/apt,461.0
Entire home/apt,425.0
Entire home/apt,480.0
Entire home/apt,450.0
Entire home/apt,475.0
Private room,185.0
Private room,460.0
Entire home/apt,464.0
Entire home/apt,446.0
Private room,378.0
Entire home/apt,495.0
Private room,272.0
Entire home/apt,450.0
Entire home/apt,456.0
Private room,190.0
Private room,165.0
Entire home/apt,489.0
Entire home/apt,482.0
Entire home/apt,426.0
Entire home/apt,471.0
Entire home/apt,434.0
Entire home/apt,500.0
Entire home/apt,489.0
Entire home/apt,463.0
Entire home/apt,420.0
Entire home/apt,432.0
Private room,208.0
Private room,168.0
Entire home/apt,474.0
Entire home/apt,444.0
Private room,225.0
Private room,282.0
Private room,293.0
Entire home/apt,430.0
Private room,206.0
Private room,215.0
Entire home/apt,500.0
Private room,253.0
Entire home/apt,436.0
Entire home/apt,450.0
Entire home/apt,490.0
Entire home/apt,444.0
Private room,247.0
Entire home/apt,450.0
Private room,181.0
Entire home/apt,455.0
Private room,178.0
Private room,159.0
Private room,214.0
Private room,222.0
Private room,161.0
Entire home/apt,447.0
